time,temperature,humidity,windspeed,city,THI,date
2024-06-11T10:00,24.5,92,1.1,温州,24.06,2024-06-11
2024-06-11T11:00,25.1,89,1.6,温州,24.4587,2024-06-11
2024-06-11T12:00,27.1,81,3.6,温州,25.7833,2024-06-11
2024-06-11T13:00,27.6,81,4.8,温州,26.231050000000003,2024-06-11
2024-06-11T14:00,25.9,89,12.7,温州,25.2103,2024-06-11
2024-06-11T15:00,25.0,90,10.6,温州,24.4225,2024-06-11
2024-06-11T16:00,24.8,90,8.9,温州,24.2335,2024-06-11
2024-06-11T17:00,24.5,91,5.2,温州,24.005,2024-06-11
2024-06-11T18:00,24.7,90,6.2,温州,24.139,2024-06-11
2024-06-11T19:00,24.0,94,3.3,温州,23.6865,2024-06-11
2024-06-11T20:00,23.1,97,4.0,温州,22.9581,2024-06-11
2024-06-11T21:00,23.8,96,2.2,温州,23.5954,2024-06-11
2024-06-11T22:00,23.1,99,2.6,温州,23.0527,2024-06-11
2024-06-11T23:00,23.4,98,1.5,温州,23.3021,2024-06-11
2024-06-12T00:00,22.8,99,3.4,温州,22.754350000000002,2024-06-12
2024-06-12T01:00,22.7,99,3.3,温州,22.654899999999998,2024-06-12
2024-06-12T02:00,22.7,99,2.3,温州,22.654899999999998,2024-06-12
2024-06-12T03:00,23.1,98,1.9,温州,23.0054,2024-06-12
2024-06-12T04:00,22.2,99,3.6,温州,22.15765,2024-06-12
2024-06-12T05:00,22.5,98,3.7,温州,22.412,2024-06-12
2024-06-12T06:00,23.2,96,1.9,温州,23.008599999999998,2024-06-12
2024-06-12T07:00,24.7,91,5.0,温州,24.1951,2024-06-12
2024-06-12T08:00,26.0,90,3.1,温州,25.3675,2024-06-12
2024-06-12T09:00,26.4,89,5.0,温州,25.680049999999998,2024-06-12
2024-06-12T10:00,27.6,86,3.1,温州,26.5913,2024-06-12
2024-06-12T11:00,27.9,85,7.2,温州,26.7945,2024-06-12
2024-06-12T12:00,27.1,87,2.9,温州,26.1991,2024-06-12
2024-06-12T13:00,27.6,88,3.7,温州,26.735400000000002,2024-06-12
2024-06-12T14:00,26.1,93,3.3,温州,25.6534,2024-06-12
2024-06-12T15:00,24.9,97,8.9,温州,24.728399999999997,2024-06-12
2024-06-12T16:00,25.0,96,2.4,温州,24.769,2024-06-12
2024-06-12T17:00,24.7,97,4.3,温州,24.5317,2024-06-12
2024-06-12T18:00,24.2,98,4.0,温州,24.0933,2024-06-12
2024-06-12T19:00,23.5,99,2.9,温州,23.4505,2024-06-12
2024-06-12T20:00,23.4,98,3.4,温州,23.3021,2024-06-12
2024-06-12T21:00,23.5,99,4.0,温州,23.4505,2024-06-12
2024-06-12T22:00,22.9,100,4.6,温州,22.9,2024-06-12
2024-06-12T23:00,22.8,100,3.6,温州,22.8,2024-06-12
2024-06-13T00:00,23.0,100,2.9,温州,23.0,2024-06-13
2024-06-13T01:00,22.9,100,2.5,温州,22.9,2024-06-13
2024-06-13T02:00,23.0,100,2.5,温州,23.0,2024-06-13
2024-06-13T03:00,23.0,99,1.8,温州,22.95325,2024-06-13
2024-06-13T04:00,22.9,99,3.1,温州,22.8538,2024-06-13
2024-06-13T05:00,22.6,99,2.9,温州,22.55545,2024-06-13
2024-06-13T06:00,23.0,98,3.5,温州,22.9065,2024-06-13
2024-06-13T07:00,23.9,96,3.7,温州,23.693199999999997,2024-06-13
2024-06-13T08:00,25.4,86,3.5,温州,24.560699999999997,2024-06-13
2024-06-13T09:00,25.9,85,1.5,温州,24.9595,2024-06-13
2024-06-13T10:00,26.6,83,1.4,温州,25.46865,2024-06-13
2024-06-13T11:00,25.2,93,5.1,温州,24.78805,2024-06-13
2024-06-13T12:00,25.7,90,4.2,温州,25.084,2024-06-13
2024-06-13T13:00,26.2,86,11.5,温州,25.2991,2024-06-13
2024-06-13T14:00,25.1,93,7.4,温州,24.6919,2024-06-13
2024-06-13T15:00,24.2,96,5.7,温州,23.9866,2024-06-13
